Origin,Destination,Date range: 2021-01-25 - 2021-01-31 Time range: 00:00 - 00:00
Region 22,Region 37,0
Region 22,Region 38,10
Region 22,Region 39,12
Region 22,Region 40,134
Region 22,Region 41,2
Region 22,Region 42,72
Region 22,Region 43,45
Region 22,Region 44,14
Region 23,Region 1,2
Region 23,Region 2,39
Region 23,Region 3,20
Region 23,Region 4,18
Region 23,Region 5,31
Region 23,Region 6,5
Region 23,Region 7,7
Region 23,Region 8,6
Region 23,Region 9,154
Region 23,Region 10,5
Region 23,Region 11,1
Region 23,Region 12,70
Region 23,Region 13,79
Region 23,Region 14,25
Region 23,Region 15,24
Region 23,Region 16,23
Region 23,Region 17,191
Region 23,Region 18,59
Region 23,Region 19,395
Region 23,Region 20,135
Region 23,Region 21,541
Region 23,Region 22,289
Region 23,Region 23,759
Region 23,Region 24,164
Region 23,Region 25,15
Region 23,Region 26,6
Region 23,Region 27,35
Region 23,Region 28,20
Region 23,Region 29,64
Region 23,Region 30,11
Region 23,Region 31,6
Region 23,Region 32,4
Region 23,Region 33,11
Region 23,Region 34,2
Region 23,Region 35,264
Region 23,Region 36,14
Region 23,Region 37,50
Region 23,Region 38,16
Region 23,Region 39,30
Region 23,Region 40,78
Region 23,Region 41,0
Region 23,Region 42,39
Region 23,Region 43,28
Region 23,Region 44,32
Region 24,Region 1,4
Region 24,Region 2,22
Region 24,Region 3,22
Region 24,Region 4,11
Region 24,Region 5,35
Region 24,Region 6,5
Region 24,Region 7,12
Region 24,Region 8,6
Region 24,Region 9,120
Region 24,Region 10,22
Region 24,Region 11,4
Region 24,Region 12,170
Region 24,Region 13,108
Region 24,Region 14,46
Region 24,Region 15,16
Region 24,Region 16,16
Region 24,Region 17,519
Region 24,Region 18,76
Region 24,Region 19,144
Region 24,Region 20,108
Region 24,Region 21,38
Region 24,Region 22,103
Region 24,Region 23,188
Region 24,Region 24,217
Region 24,Region 25,20
Region 24,Region 26,5
Region 24,Region 27,61
Region 24,Region 28,59
Region 24,Region 29,67
Region 24,Region 30,32
Region 24,Region 31,8
Region 24,Region 32,26
Region 24,Region 33,12
Region 24,Region 34,14
Region 24,Region 35,351
Region 24,Region 36,13
Region 24,Region 37,10
Region 24,Region 38,19
Region 24,Region 39,36
Region 24,Region 40,438
Region 24,Region 41,6
Region 24,Region 42,174
Region 24,Region 43,81
Region 24,Region 44,68
Region 25,Region 1,0
Region 25,Region 2,8
Region 25,Region 3,1
Region 25,Region 4,3
Region 25,Region 5,1
Region 25,Region 6,1
Region 25,Region 7,2
Region 25,Region 8,1
Region 25,Region 9,65
Region 25,Region 10,2
Region 25,Region 11,0
Region 25,Region 12,2
Region 25,Region 13,2
Region 25,Region 14,4
Region 25,Region 15,5
Region 25,Region 16,11
Region 25,Region 17,205
Region 25,Region 18,20
Region 25,Region 19,41
Region 25,Region 20,138
Region 25,Region 21,35
Region 25,Region 22,8
Region 25,Region 23,5
Region 25,Region 24,8
Region 25,Region 25,275
Region 25,Region 26,32
Region 25,Region 27,6
Region 25,Region 28,1
Region 25,Region 29,2
Region 25,Region 30,2
Region 25,Region 31,1
Region 25,Region 32,0
Region 25,Region 33,4
Region 25,Region 34,1
Region 25,Region 35,195
Region 25,Region 36,2
Region 25,Region 37,13
Region 25,Region 38,5
Region 25,Region 39,1
Region 25,Region 40,9
Region 25,Region 41,1
Region 25,Region 42,9
Region 25,Region 43,4
Region 25,Region 44,17
Region 26,Region 1,1
Region 26,Region 2,2
Region 26,Region 3,3
Region 26,Region 4,0
Region 26,Region 5,6
Region 26,Region 6,2
Region 26,Region 7,2
Region 26,Region 8,5
Region 26,Region 9,41
Region 26,Region 10,3
Region 26,Region 11,1
Region 26,Region 12,2
Region 26,Region 13,6
Region 26,Region 14,3
Region 26,Region 15,7
Region 26,Region 16,3
Region 26,Region 17,95
Region 26,Region 18,9
Region 26,Region 19,58
Region 26,Region 20,114
Region 26,Region 21,117
Region 26,Region 22,8
Region 26,Region 23,19
Region 26,Region 24,7
Region 26,Region 25,45
Region 26,Region 26,105
Region 26,Region 27,6
Region 26,Region 28,9
Region 26,Region 29,3
Region 26,Region 30,3
Region 26,Region 31,0
Region 26,Region 32,1
Region 26,Region 33,3
Region 26,Region 34,0
Region 26,Region 35,190
Region 26,Region 36,1
Region 26,Region 37,9
Region 26,Region 38,2
Region 26,Region 39,3
Region 26,Region 40,1
